title,organization,sector,position_type,location,posted_date,deadline,salary,employment_type,source_page,posting_link,source,first_seen
Computing and Mathematical Sciences Division - Postdoctoral Researcher: CryoSTEM Foundation Models,"Mohamed bin Zayed University of Artificial Intelligence Abu Dhabi, Abu Dhabi, United Arab Emirates",Academia,Postdoctoral,Mohamed bin Zayed University of Artificial Intelligence,27/08/2026,,,,https://careercenter.informs.org/job/computing-and-mathematical-sciences-division-postdoctoral-researcher-cryostem-foundation-models-abu-dhabi-abu-dhabi-5437,https://careercenter.informs.org/job/computing-and-mathematical-sciences-division-postdoctoral-researcher-cryostem-foundation-models-abu-dhabi-abu-dhabi-5437,INFORMS Career Center,13/08/2026
Tenured/Tenure-track Faculty Members for Engineering Systems And Design (ESD) Pillar,"Singapore University of Technology and Design Singapore, Singapore",Academia,Tenure-Track Faculty,Singapore University of Technology and Design,27/08/2026,,,,https://careercenter.informs.org/job/tenured-tenure-track-faculty-members-for-engineering-systems-and-design-esd-pillar-singapore-5469,https://careercenter.informs.org/job/tenured-tenure-track-faculty-members-for-engineering-systems-and-design-esd-pillar-singapore-5469,INFORMS Career Center,29/08/2026
"Manager, Guidewire BA Lead","PricewaterhouseCoopers Advisory Services LLC Chicago, Illinois (Hybrid)",Industry,Industry / Non-Academic,PricewaterhouseCoopers Advisory Services LLC,27/08/2026,,,,https://careercenter.informs.org/job/manager-guidewire-ba-lead-chicago-illinois-5462,https://careercenter.informs.org/job/manager-guidewire-ba-lead-chicago-illinois-5462,INFORMS Career Center,29/08/2026
"Principal Engineer, Optimization","RTX Technology Research Center East Hartford, Connecticut (Hybrid)",Industry,Industry / Non-Academic,RTX Technology Research Center,27/08/2026,,,,https://careercenter.informs.org/job/principal-engineer-optimization-east-hartford-connecticut-5452,https://careercenter.informs.org/job/principal-engineer-optimization-east-hartford-connecticut-5452,INFORMS Career Center,13/08/2026
Content Reviewer - English (US),TELUS Digital Remote,Industry,Industry / Non-Academic,TELUS Digital,27/08/2026,,$11.00 - $14.00 Per Hour,Part Time,https://careercenter.informs.org/job/content-reviewer-english-us--5447,https://careercenter.informs.org/job/content-reviewer-english-us--5447,INFORMS Career Center,13/08/2026
"Glorious Sun School of Economics and Management, Donghua University(Shanghai) Faculty Recruitment","Donghua University Shanghai, Shanghai, China",Academia,Academic,Donghua University,26/08/2026,,,Full-Time,https://careercenter.informs.org/job/glorious-sun-school-of-economics-and-management-donghua-university-shanghai-faculty-recruitment-shanghai-shanghai-5393,https://careercenter.informs.org/job/glorious-sun-school-of-economics-and-management-donghua-university-shanghai-faculty-recruitment-shanghai-shanghai-5393,INFORMS Career Center,13/08/2026
Tenured/Tenure-Track Faculty Position(s) in Business Analytics,"University of Iowa Iowa City, Iowa",Academia,Tenure-Track Faculty,University of Iowa,26/08/2026,,,Full Time,https://careercenter.informs.org/job/tenured-tenure-track-faculty-position-s-in-business-analytics-iowa-city-iowa-5465,https://careercenter.informs.org/job/tenured-tenure-track-faculty-position-s-in-business-analytics-iowa-city-iowa-5465,INFORMS Career Center,29/08/2026
Associate or Full Professor of Technology & Operations,"University of Michigan, Ross School of Business",Academia,Full Professor,"University of Michigan, Ross School of Business",26/08/2026,,,,https://careercenter.informs.org/job/associate-or-full-professor-of-technology-operations-ann-arbor-michigan-5424,https://careercenter.informs.org/job/associate-or-full-professor-of-technology-operations-ann-arbor-michigan-5424,INFORMS Career Center,13/08/2026
"Clinical Faculty Positions, Kelley School of Business, Operations and Decision Technologies","Kelley School of Business-Indiana University Bloomington, Indiana",Academia,Academic,Kelley School of Business-Indiana University,25/08/2026,,,,https://careercenter.informs.org/job/clinical-faculty-positions-kelley-school-of-business-operations-and-decision-technologies-bloomington-indiana-5471,https://careercenter.informs.org/job/clinical-faculty-positions-kelley-school-of-business-operations-and-decision-technologies-bloomington-indiana-5471,INFORMS Career Center,29/08/2026
"Faculty Positions in Operations, Information and Technology",Stanford University,Academia,Academic,Stanford Graduate School of Business,25/08/2026,,,,https://careercenter.informs.org/job/faculty-positions-in-operations-information-and-technology-stanford-california-5458,https://careercenter.informs.org/job/faculty-positions-in-operations-information-and-technology-stanford-california-5458,INFORMS Career Center,29/08/2026
Professor / Associate Professor / Assistant Professor (Operations Management),"The Chinese University of Hong Kong Hong Kong, China",Academia,Assistant Professor,The Chinese University of Hong Kong,25/08/2026,,,,https://careercenter.informs.org/job/professor-associate-professor-assistant-professor-operations-management-hong-kong-5454,https://careercenter.informs.org/job/professor-associate-professor-assistant-professor-operations-management-hong-kong-5454,INFORMS Career Center,29/08/2026
Assistant Professor in Operations Management,The Ohio State University,Academia,Assistant Professor,The Ohio State University - Fisher College of Business,25/08/2026,,,Full Time,https://careercenter.informs.org/job/assistant-professor-in-operations-management-columbus-ohio-5448,https://careercenter.informs.org/job/assistant-professor-in-operations-management-columbus-ohio-5448,INFORMS Career Center,13/08/2026
Professor/Associate Professor/Assistant Professor in Statistics in HKU Business School and the School of Computing and Data Science,The University of Hong Kong,Academia,Assistant Professor,The University of Hong Kong,25/08/2026,,,,https://careercenter.informs.org/job/professor-associate-professor-assistant-professor-in-statistics-in-hku-business-school-and-the-school-of-computing-and-data-science-hong-kong-5360,https://careercenter.informs.org/job/professor-associate-professor-assistant-professor-in-statistics-in-hku-business-school-and-the-school-of-computing-and-data-science-hong-kong-5360,INFORMS Career Center,13/08/2026
Presidential Postdoctoral Fellow/Assistant Professor - Privacy and Technology,University of Michigan,Academia,Postdoctoral,University of Michigan School of Information,25/08/2026,,,Full Time,https://careercenter.informs.org/job/presidential-postdoctoral-fellow-assistant-professor-privacy-and-technology-ann-arbor-michigan-5459,https://careercenter.informs.org/job/presidential-postdoctoral-fellow-assistant-professor-privacy-and-technology-ann-arbor-michigan-5459,INFORMS Career Center,29/08/2026
"Manager, Corporate and Business Strategy Generalist",Columbia University,Industry,Industry / Non-Academic,PricewaterhouseCoopers Advisory Services LLC,25/08/2026,,,,https://careercenter.informs.org/job/manager-corporate-and-business-strategy-generalist-washington-district-of-columbia-5463,https://careercenter.informs.org/job/manager-corporate-and-business-strategy-generalist-washington-district-of-columbia-5463,INFORMS Career Center,29/08/2026
Assistant Professor of Operations Management,"University of Kansas School of Business Lawrence, Kansas",Academia,Assistant Professor,University of Kansas School of Business,24/08/2026,,,Full Time,https://careercenter.informs.org/job/assistant-professor-of-operations-management-lawrence-kansas-5453,https://careercenter.informs.org/job/assistant-professor-of-operations-management-lawrence-kansas-5453,INFORMS Career Center,13/08/2026
"Assistant Professor Positions in Operations Management - School of Management and Economics, The Chinese University of Hong Kong, Shenzhen","The Chinese University of Hong Kong, Shenzhen Shenzhen, Guangdong, China",Academia,Assistant Professor,"The Chinese University of Hong Kong, Shenzhen",20/08/2026,,,,https://careercenter.informs.org/job/assistant-professor-positions-in-operations-management-school-of-management-and-economics-the-chinese-university-of-hong-kong-shenzhen-shenzhen-guangdong-5468,https://careercenter.informs.org/job/assistant-professor-positions-in-operations-management-school-of-management-and-economics-the-chinese-university-of-hong-kong-shenzhen-shenzhen-guangdong-5468,INFORMS Career Center,29/08/2026
"Tenure-Track Professor, Open Rank - Fashion Design Management",Cornell University,Academia,Open Rank Faculty,Cornell University,19/08/2026,,,Full Time,https://careercenter.informs.org/job/tenure-track-professor-open-rank-fashion-design-management-ithaca-new-york-5412,https://careercenter.informs.org/job/tenure-track-professor-open-rank-fashion-design-management-ithaca-new-york-5412,INFORMS Career Center,13/08/2026
Professor/Associate Professor/Assistant Professor in Information Systems – The School of Management and Economics,"The Chinese University of Hong Kong, Shenzhen Shenzhen, Guangdong, China",Academia,Assistant Professor,"The Chinese University of Hong Kong, Shenzhen",19/08/2026,,,,https://careercenter.informs.org/job/professor-associate-professor-assistant-professor-in-information-systems-the-school-of-management-and-economics-shenzhen-guangdong-5473,https://careercenter.informs.org/job/professor-associate-professor-assistant-professor-in-information-systems-the-school-of-management-and-economics-shenzhen-guangdong-5473,INFORMS Career Center,29/08/2026
Tenure-Track Professor/Associate Professor/Assistant Professor (several posts),The University of Hong Kong,Academia,Assistant Professor,The University of Hong Kong,19/08/2026,,,,https://careercenter.informs.org/job/tenure-track-professor-associate-professor-assistant-professor-several-posts-hong-kong-5359,https://careercenter.informs.org/job/tenure-track-professor-associate-professor-assistant-professor-several-posts-hong-kong-5359,INFORMS Career Center,13/08/2026
"Assistant Professor, Tenure Track - Industrial Engineering #559067","Cal Poly San Luis Obispo, California",Academia,Assistant Professor,Cal Poly,18/08/2026,,"$106,000.00 - $117,000.00 Commensurate with Experience",Full Time,https://careercenter.informs.org/job/assistant-professor-tenure-track-industrial-engineering-559067-san-luis-obispo-california-5440,https://careercenter.informs.org/job/assistant-professor-tenure-track-industrial-engineering-559067-san-luis-obispo-california-5440,INFORMS Career Center,13/08/2026
"Assistant, Associate, or Full Professor of Analytics",Furman University,Academia,Open Rank Faculty,Furman University,18/08/2026,,,,https://careercenter.informs.org/job/assistant-associate-or-full-professor-of-analytics-greenville-south-carolina-5451,https://careercenter.informs.org/job/assistant-associate-or-full-professor-of-analytics-greenville-south-carolina-5451,INFORMS Career Center,13/08/2026
Open-Rank Clinical Professor in Supply Chain Management,Pennsylvania State University,Academia,Open Rank Faculty,Pennsylvania State University,18/08/2026,,,,https://careercenter.informs.org/job/open-rank-clinical-professor-in-supply-chain-management-university-park-pennsylvania-5472,https://careercenter.informs.org/job/open-rank-clinical-professor-in-supply-chain-management-university-park-pennsylvania-5472,INFORMS Career Center,29/08/2026
"Data Analytics and Decision Science Faculty, Open Rank (TT/T)",University of Virginia,Academia,Open Rank Faculty,University of Virginia Darden School of Business,18/08/2026,,,,https://careercenter.informs.org/job/data-analytics-and-decision-science-faculty-open-rank-tt-t-charlottesville-virginia-5457,https://careercenter.informs.org/job/data-analytics-and-decision-science-faculty-open-rank-tt-t-charlottesville-virginia-5457,INFORMS Career Center,29/08/2026
Tenure-track Faculty Position in Decision Sciences,Duke University,Academia,Tenure-Track Faculty,"The Fuqua School of Business, Duke University",13/08/2026,,,,https://careercenter.informs.org/job/tenure-track-faculty-position-in-decision-sciences-durham-north-carolina-5450,https://careercenter.informs.org/job/tenure-track-faculty-position-in-decision-sciences-durham-north-carolina-5450,INFORMS Career Center,13/08/2026
Senior Instructional Professor (Open-Rank)/Associate Academic Director MS-CAPP,University of Chicago,Academia,Open Rank Faculty,University of Chicago,13/08/2026,,"$115,000 - $200,000 Per Year",Full Time,https://careercenter.informs.org/job/senior-instructional-professor-open-rank-associate-academic-director-ms-capp-chicago-illinois-5442,https://careercenter.informs.org/job/senior-instructional-professor-open-rank-associate-academic-director-ms-capp-chicago-illinois-5442,INFORMS Career Center,13/08/2026
"Assistant, Associate, or Full Professor (Operations) at UNC Kenan-Flagler Business School",University of North Carolina at Chapel Hill,Academia,Open Rank Faculty,UNC Kenan-Flagler Business School,13/08/2026,,,,https://careercenter.informs.org/job/assistant-associate-or-full-professor-operations-at-unc-kenan-flagler-business-school-chapel-hill-north-carolina-5474,https://careercenter.informs.org/job/assistant-associate-or-full-professor-operations-at-unc-kenan-flagler-business-school-chapel-hill-north-carolina-5474,INFORMS Career Center,29/08/2026
"Faculty Positions in Industrial and Management Engineering at Pohang University of Science and Technology (POSTECH), Korea",Pohang University,Academia,Other,,29/07/2026,,,,https://connect.informs.org/discussion/faculty-positions-in-industrial-and-management-engineering-at-pohang-university-of-science-and-technology-postech-korea-8,https://facultyapplication.postech.ac.kr/eng/,INFORMS Connect - Available Positions,13/08/2026
Position Summary,McGill University,Academia,Assistant Professor,,28/07/2026,,,,https://connect.informs.org/discussion/tenure-track-position-in-operations-management-desautels-faculty-of-management-mcgill-university-1,https://www.mcgill.ca/hr/files/hr/apply_at_mcgill_university_-_guide_for_external_candidates_en.pdf,INFORMS Connect - Available Positions,13/08/2026
Postdoctoral Fellowship in Health Policy Modeling at Mass General/Harvard,Harvard University,Academia,Postdoctoral,,26/07/2026,,,,https://connect.informs.org/discussion/postdoctoral-fellowship-in-health-policy-modeling-at-mass-generalharvard-2,https://connect.informs.org/discussion/postdoctoral-fellowship-in-health-policy-modeling-at-mass-generalharvard-2,INFORMS Connect - Available Positions,13/08/2026
Tenure-Track Assistant Professor and Postdoctoral Fellow Positions in AI + Economics/Management at Beijing Zhongguancun Academy,,Academia,Postdoctoral,,17/07/2026,,,,https://connect.informs.org/discussion/tenure-track-assistant-professor-and-postdoctoral-fellow-positions-in-ai-economicsmanagement-at-beijing-zhongguancun-academy-1,https://connect.informs.org:443/discussion/gatech-scheller-itm-postdoc-position-for-the-economics-of-ai?hlmlt=VT,INFORMS Connect - Available Positions,13/08/2026
"Postdoctoral Associate, School of Civil and Environmental Engineering",Cornell University,Academia,Postdoctoral,Cornell University,17/07/2026,,,Full Time,https://careercenter.informs.org/job/postdoctoral-associate-school-of-civil-and-environmental-engineering-ithaca-new-york-5438,https://careercenter.informs.org/job/postdoctoral-associate-school-of-civil-and-environmental-engineering-ithaca-new-york-5438,INFORMS Career Center,13/08/2026
Tenure Track Assistant Professor of Data Science,San Diego State University,Academia,Assistant Professor,San Diego State University,16/07/2026,,"$148,000 - $158,000 Per Year",Full Time,https://careercenter.informs.org/job/tenure-track-assistant-professor-of-data-science-san-diego-california-5435,https://careercenter.informs.org/job/tenure-track-assistant-professor-of-data-science-san-diego-california-5435,INFORMS Career Center,13/08/2026
Tenure Track Assistant Professor of Information Systems,San Diego State University,Academia,Assistant Professor,San Diego State University,16/07/2026,,"$148,000 - $158,000 Per Year",Full Time,https://careercenter.informs.org/job/tenure-track-assistant-professor-of-information-systems-san-diego-california-5436,https://careercenter.informs.org/job/tenure-track-assistant-professor-of-information-systems-san-diego-california-5436,INFORMS Career Center,13/08/2026
Job Opening: Lecturer/Senior Lecturer/Master Lecturer Positions at Univeristy of Florida ISE,,Academia,Lecturer,,14/07/2026,,,,https://connect.informs.org/discussion/job-opening-lecturersenior-lecturermaster-lecturer-positions-at-univeristy-of-florida-ise-1,https://explore.jobs.ufl.edu/en-us/job/540100/lecturersenior-lecturermaster-lecturer,INFORMS Connect - Available Positions,13/08/2026
Tenure-Track and Educator Track Positions in Information Systems and Analytics,National University of Singapore,Academia,Tenure-Track Faculty,National University of Singapore,14/07/2026,,,Full Time,https://careercenter.informs.org/job/tenure-track-and-educator-track-positions-in-information-systems-and-analytics-singapore-4912,https://careercenter.informs.org/job/tenure-track-and-educator-track-positions-in-information-systems-and-analytics-singapore-4912,INFORMS Career Center,29/08/2026
Biological and Life Sciences Division - Open Rank Faculty Positions,"Mohamed bin Zayed University of Artificial Intelligence Abu Dhabi, Abu Dhabi, United Arab Emirates",Academia,Open Rank Faculty,Mohamed bin Zayed University of Artificial Intelligence,13/07/2026,,,,https://careercenter.informs.org/job/biological-and-life-sciences-division-open-rank-faculty-positions-abu-dhabi-abu-dhabi-5427,https://careercenter.informs.org/job/biological-and-life-sciences-division-open-rank-faculty-positions-abu-dhabi-abu-dhabi-5427,INFORMS Career Center,13/08/2026
Assistant Professor of Supply Chain Management,"Syracuse University Syracuse, New York",Academia,Assistant Professor,Syracuse University,30/06/2026,,,,https://careercenter.informs.org/job/assistant-professor-of-supply-chain-management-syracuse-new-york-5470,https://careercenter.informs.org/job/assistant-professor-of-supply-chain-management-syracuse-new-york-5470,INFORMS Career Center,29/08/2026
Assistant/Associate-Level Faculty Position in Operations Management at ESSEC Business School (France),,Academia,Other,,29/06/2026,,,,https://connect.informs.org/discussion/assistantassociate-level-faculty-position-in-operations-management-at-essec-business-school-france-1,https://docs.google.com/forms/d/e/1FAIpQLScKGwFHes4KMhN5Kp1M6-pY1vmrwqJMKKE_u3T2E3TO2MIoEA/viewform,INFORMS Connect - Available Positions,13/08/2026
Multiple Postdoctoral Research Fellow and Research Engineer Positions at Singapore Management University,Singapore Management University,Academia,Postdoctoral,,23/06/2026,,,,https://connect.informs.org/discussion/multiple-postdoctoral-research-fellow-and-research-engineer-positions-at-singapore-management-university-2,https://connect.informs.org:443/discussion/multiple-postdoctoral-research-fellow-and-research-engineer-positions-at-singapore-management-university?hlmlt=VT,INFORMS Connect - Available Positions,13/08/2026
"Postdoctoral Research Fellow - Haskayne School of Business, University of Calgary",University of Calgary,Academia,Postdoctoral,,16/06/2026,,,,https://connect.informs.org/discussion/postdoctoral-research-fellow-haskayne-school-of-business-university-of-calgary-3,https://connect.informs.org:443/discussion/tenure-track-assistant-professor-position-haskayne-school-of-business-university-of-calgary?hlmlt=VT,INFORMS Connect - Available Positions,13/08/2026
PostDoctoral Associate - UF Sports Analytics Lab,University of Florida,Academia,Postdoctoral,,16/06/2026,,,,https://connect.informs.org/discussion/postdoctoral-associate-uf-sports-analytics-lab-3,https://explore.jobs.ufl.edu/en-us/job/538894/,INFORMS Connect - Available Positions,13/08/2026
"Postdoctoral Associate Position - Ivey Business School, Western University",Western University,Academia,Postdoctoral,,16/06/2026,,,,https://connect.informs.org/discussion/postdoctoral-associate-position-ivey-business-school-western-university-7,https://connect.informs.org:443/discussion/postdoctoral-associate-position-ivey-business-school-western-university-5?hlmlt=VT,INFORMS Connect - Available Positions,13/08/2026
Assistant Professor of Business Analytics at Indiana State University,Indiana State University,Academia,Assistant Professor,,15/06/2026,,,,https://connect.informs.org/discussion/assistant-professor-of-business-analytics-at-indiana-state-university-2,https://connect.informs.org:443/viewdocument/tenure-track-positio-10?CommunityKey=1da3a01c-2272-4e45-b382-18c7640da1b7&tab=librarydocuments&hlmlt=VT,INFORMS Connect - Available Positions,13/08/2026
"Tenure-Track Faculty Position in Operations Management - CUNEF University, Madrid",Tenure-Track Faculty Position in Operations Management - CUNEF University,Academia,Tenure-Track Faculty,,15/06/2026,,,,https://connect.informs.org/discussion/tenure-track-faculty-position-in-operations-management-cunef-university-madrid-4,https://academicjobsonline.org/ajo/jobs/32180,INFORMS Connect - Available Positions,13/08/2026
Assistant Professor of Marketing and International Business at University of Washington,University of Washington,Academia,Assistant Professor,,15/06/2026,,,,https://connect.informs.org/discussion/assistant-professor-of-marketing-and-international-business-at-university-of-washington,https://apply.interfolio.com/187140,INFORMS Connect - Available Positions,13/08/2026
Assistant Professor Massachusetts Institute of Technology Sloan School of Management: Operations Management,Massachusetts Institute of Technology,Academia,Assistant Professor,MIT Sloan School of Management,06/08/2026,,,,https://careercenter.informs.org/job/assistant-professor-massachusetts-institute-of-technology-sloan-school-of-management-operations-management-cambridge-massachusetts-5461,https://careercenter.informs.org/job/assistant-professor-massachusetts-institute-of-technology-sloan-school-of-management-operations-management-cambridge-massachusetts-5461,INFORMS Career Center,29/08/2026
Assistant Professor of Mathematics,Furman University,Academia,Assistant Professor,Furman University,04/08/2026,,,,https://careercenter.informs.org/job/assistant-professor-of-mathematics-greenville-south-carolina-5444,https://careercenter.informs.org/job/assistant-professor-of-mathematics-greenville-south-carolina-5444,INFORMS Career Center,13/08/2026
